fb_taxon_id	taxon_name	taxon_uri	phylum	class	order	family	genus	sl_mm	sl_sex	sl_ref	tl_mm	tl_sex	tl_ref	fl_mm	fl_sex	fl_ref	dw_mm	dw_sex	dw_ref	max_weight_g	max_weight_ref	benthic	pelagic	benthopelagic	bathypelagic	pelagic-neritic	pelagic-oceanic	demersal	reef-associated	anadromous	catadromous	amphidromous	potamodromous	limnodromous	oceanodromous	non-migratory	freshwater	brackish	marine	use_fisheries	use_aquaculture	use_gamefish	use_bait	use_aquarium	use_ref	phylo_div	phylo_div_ref	troph_level	troph_level_se	troph_level_ref	resil	resil_ref	resil_K	resil_tm	resil_tmax	resil_fec	vulnerab	vulnerab_ref	price	price_ref	main_ref
62945	Scorpaenopsis eschmeyeri	http://www.fishbase.org/summary/speciessummary.php?id=62945	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Scorpaenopsis	115																				1											1							0.5000	82805	3.9	0.7	69278	1.4 - 4.4 years	120179					33	59153			57579
56512	Uranoscopus affinis	http://www.fishbase.org/summary/speciessummary.php?id=56512	Chordata	Actinopterygii	Perciformes	Uranoscopidae	Uranoscopus																	1															1							0.5000	82805	4.2	0.7	69278	1.4 - 4.4 years	120179					40	59153			33021
23228	Encheliophis sagamianus	http://www.fishbase.org/summary/speciessummary.php?id=23228	Chordata	Actinopterygii	Ophidiiformes	Carapidae	Encheliophis				200	male/unsexed	34024																										1	of no interest					34024	0.5078	82805	3.4	0.3	69278		120179					10	59153			34024
13176	Labeo pangusia	http://www.fishbase.org/summary/speciessummary.php?id=13176	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Labeo				900	male/unsexed	41236											1									1				1			commercial					4832	0.5000	82805	2.0	0.00	69278	more than 14 years	120179					64	59153	unknown	80766	4832
46339	Salaria basilisca	http://www.fishbase.org/summary/speciessummary.php?id=46339	Chordata	Actinopterygii	Perciformes	Blenniidae	Salaria				180	male/unsexed	5981															1											1							0.5312	82805				1.4 - 4.4 years	120179					28	59153			5981
57745	Pseudolithoxus anthrax	http://www.fishbase.org/summary/speciessummary.php?id=57745	Chordata	Actinopterygii	Siluriformes	Loricariidae	Pseudolithoxus	124	male/unsexed	36713																		1									1							commercial	40437	0.5312	82805					120179					10	59153			40437
61562	Lebiasina narinensis	http://www.fishbase.org/summary/speciessummary.php?id=61562	Chordata	Actinopterygii	Characiformes	Lebiasinidae	Lebiasina																	1													1									0.5000	82805	3.6	0.4	69278		120179					10	59153			46206
13278	Urotrygon munda	http://www.fishbase.org/summary/speciessummary.php?id=13278	Chordata	Elasmobranchii	Rajiformes	Urolophidae	Urotrygon				288	male/unsexed	9265															1											1							0.5001	82805	3.7	0.6	69278	4.5 - 14 years	120179					15	59153			9265
50569	Rineloricaria caracasensis	http://www.fishbase.org/summary/speciessummary.php?id=50569	Chordata	Actinopterygii	Siluriformes	Loricariidae	Rineloricaria																					1									1									0.5000	82805	2.5	0.2	69278		120179					10	59153			36389
3932	Pontinus nematophthalmus	http://www.fishbase.org/summary/speciessummary.php?id=3932	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Pontinus				140	male/unsexed	7251															1											1							0.5000	82805	3.4	0.5	69278	1.4 - 4.4 years	120179					30	59153			7251
6421	Phractocephalus hemioliopterus	http://www.fishbase.org/summary/speciessummary.php?id=6421	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus				1340	male/unsexed	40637							44200	40637							1					1				1			minor commercial		yes		commercial	12202;;4537	1.0000	82805	4.2	0.73	69278	4.5 - 14 years	120179					67	59153	unknown	80766	36506
49723	Rivulus agilae	http://www.fishbase.org/summary/speciessummary.php?id=49723	Chordata	Actinopterygii	Cyprinodontiformes	Rivulidae	Rivulus				50	male/unsexed	35237											1												1	1			of no interest				commercial	27188	0.5000	82805	3.3	0.45	69278	less than 15 months	120179					14	59153			36579
13135	Hyporhamphus ihi	http://www.fishbase.org/summary/speciessummary.php?id=13135	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hyporhamphus	260	male/unsexed	10988													1			1													1	minor commercial					9258	0.5000	82805	3.2	0.3	69278	less than 15 months	120179					20	59153	unknown	80766	10988
62402	Placidochromis lukomae	http://www.fishbase.org/summary/speciessummary.php?id=62402	Chordata	Actinopterygii	Perciformes	Cichlidae	Placidochromis	73	male/unsexed	55898														1													1									0.5000	82805	3.3	0.4	69278	less than 15 months	120179					11	59153			55898
5279	Raiamas nigeriensis	http://www.fishbase.org/summary/speciessummary.php?id=5279	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Raiamas	103	male/unsexed	2801																		1					1				1									0.5000	82805	3.2	0.4	69278	less than 15 months	120179					25	59153	unknown	80766	2940
15330	Ophioblennius macclurei	http://www.fishbase.org/summary/speciessummary.php?id=15330	Chordata	Actinopterygii	Perciformes	Blenniidae	Ophioblennius				122	male/unsexed	26340																1										1	of no interest				commercial	12090	0.5312	82805	2.5	0.1	69278	less than 15 months	120179					23	59153			9861
7222	Trimma okinawae	http://www.fishbase.org/summary/speciessummary.php?id=7222	Chordata	Actinopterygii	Perciformes	Gobiidae	Trimma	35	male/unsexed	48637																			1										1							0.5000	82805				less than 15 months	120179					10	59153			1602
9118	Bathylagus greyae	http://www.fishbase.org/summary/speciessummary.php?id=9118	Chordata	Actinopterygii	Osmeriformes	Bathylagidae	Bathylagus	160	male/unsexed	4459															1														1							0.5312	82805	3.4	0.45	69278	1.4 - 4.4 years	120179					43	59153			4459
22841	Gastromyzon ctenocephalus	http://www.fishbase.org/summary/speciessummary.php?id=22841	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Gastromyzon	45	male/unsexed	7050																		1									1									0.5000	82805	2.4	0.1	69278		120179					10	59153			7050
1829	Steindachneria argentea	http://www.fishbase.org/summary/speciessummary.php?id=1829	Chordata	Actinopterygii	Gadiformes	Merlucciidae	Steindachneria				300	male/unsexed	26340																										1	of no interest					171	1.0000	82805	3.9	0.5	69278	less than 15 months	120179					28	59153			1371
50830	Odontesthes platensis	http://www.fishbase.org/summary/speciessummary.php?id=50830	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Odontesthes																	1													1	1	1							0.5000	82805	3.5	0.3	69278	less than 15 months	120179					15	59153			116661
49478	Aphyosemion edeanum	http://www.fishbase.org/summary/speciessummary.php?id=49478	Chordata	Actinopterygii	Cyprinodontiformes	Nothobranchiidae	Aphyosemion				50	male/unsexed	27139											1												1	1			of no interest				commercial	27139	0.5000	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			27139
6804	Haplochromis occultidens	http://www.fishbase.org/summary/speciessummary.php?id=6804	Chordata	Actinopterygii	Perciformes	Cichlidae	Haplochromis	106.5																1													1									0.5000	82805	3.4	0.4	69278	less than 15 months	120179					16	59153			4983
2217	Trematocranus placodon	http://www.fishbase.org/summary/speciessummary.php?id=2217	Chordata	Actinopterygii	Perciformes	Cichlidae	Trematocranus				250	male/unsexed	5709															1									1							commercial	5595	0.6250	82805	3.4	0.58	69278	less than 15 months	120179					25	59153			5709
53514	Farlowella colombiensis	http://www.fishbase.org/summary/speciessummary.php?id=53514	Chordata	Actinopterygii	Siluriformes	Loricariidae	Farlowella	160	male/unsexed	36389																		1									1									0.5000	82805	2.5	0.2	69278		120179					10	59153			36389
48691	Trichomycterus goeldii	http://www.fishbase.org/summary/speciessummary.php?id=48691	Chordata	Actinopterygii	Siluriformes	Trichomycteridae	Trichomycterus				99	male/unsexed	39970											1													1									0.5000	82805	3.2	0.4	69278	4.5 - 14 years	120179					10	59153			6868
964	Aulostomus maculatus	http://www.fishbase.org/summary/speciessummary.php?id=964	Chordata	Actinopterygii	Syngnathiformes	Aulostomidae	Aulostomus				1000	male/unsexed	26340																1										1	minor commercial				commercial	3271;49392	0.7500	82805	4.3	0.6	69278		120179					50	59153	unknown	80766	7251
12507	Pristotis cyanostigma	http://www.fishbase.org/summary/speciessummary.php?id=12507	Chordata	Actinopterygii	Perciformes	Pomacentridae	Pristotis				110	male/unsexed	9710																1							1			1							0.7500	82805	2.8	0.3	69278	less than 15 months	120179					21	59153			7247
60988	Ilyodon xantusi	http://www.fishbase.org/summary/speciessummary.php?id=60988	Chordata	Actinopterygii	Cyprinodontiformes	Goodeidae	Ilyodon																					1									1									0.5312	82805	2.0	0.1	69278		120179					10	59153			31780
14202	Pangasius nasutus	http://www.fishbase.org/summary/speciessummary.php?id=14202	Chordata	Actinopterygii	Siluriformes	Pangasiidae	Pangasius				900	male/unsexed	7050											1													1			commercial					56749	0.5000	82805	2.8	0.4	69278		120179					39	59153	unknown	80766	7432
50534	Sturisoma tenuirostre	http://www.fishbase.org/summary/speciessummary.php?id=50534	Chordata	Actinopterygii	Siluriformes	Loricariidae	Sturisoma	126	male/unsexed	36389																		1									1									0.5010	82805	2.5	0.2	69278		120179					10	59153			36389
